league,league_name,market,n,logloss_poisson,brier_poisson,logloss_ml,brier_ml
E3,League Two,over_3.5,292,0.6370317396350961,0.22113610611063386,0.6099704290258902,0.2072613907760537
E3,League Two,under_0.5,292,0.22232442628362514,0.052972924457981935,0.2217677000401151,0.05328973721328281
E3,League Two,under_1.5,292,0.5858545903637894,0.19375792427814206,0.5735068843375508,0.19125342019632055
E3,League Two,under_2.5,292,0.7345905910342662,0.2689898394849917,0.7086739392244356,0.25683997453754165
E3,League Two,under_3.5,292,0.6370317396350961,0.22113610611063386,0.6099704290258902,0.2072613907760537
EC,Conference,1x2_away,303,0.656724863629903,0.2298480801565941,0.6411566644907323,0.224264807774875
EC,Conference,1x2_draw,303,0.5349322399067674,0.17532462771616072,0.5417515029751293,0.17804302152581689
EC,Conference,1x2_home,303,0.6882001253901198,0.24753214494920053,0.6716123633022213,0.239381922168087
EC,Conference,btts_no,303,0.6957611238199833,0.25089974088433337,0.6911418380420689,0.24884759317158567
EC,Conference,btts_yes,303,0.6957611238199833,0.25089974088433337,0.6911418380420689,0.24884759317158567
EC,Conference,dc_12,303,0.5349322399067674,0.17532462771616072,0.5417515029751293,0.17804302152581689
EC,Conference,dc_1x,303,0.656724863629903,0.2298480801565941,0.6411566644907323,0.22426480777487506
EC,Conference,dc_2x,303,0.6882001253901199,0.2475321449492006,0.6716123633022213,0.239381922168087
EC,Conference,over_0.5,303,0.1942770067047948,0.04837172057972155,0.19684437695169016,0.04862378770165143
EC,Conference,over_1.5,303,0.4741211375703528,0.14880486132585724,0.4801698411283053,0.1513874834751431
EC,Conference,over_2.5,303,0.6897976273383838,0.2476782910764537,0.6851503361272502,0.24591490123483206
EC,Conference,over_3.5,303,0.5738195412486145,0.19463765349572673,0.5589072771601976,0.18872948439396503
EC,Conference,under_0.5,303,0.19427700670479475,0.04837172057972155,0.19684437695169013,0.04862378770165143
EC,Conference,under_1.5,303,0.4741211375703528,0.14880486132585724,0.4801698411283053,0.1513874834751431
EC,Conference,under_2.5,303,0.6897976273383837,0.24767829107645373,0.6851503361272501,0.24591490123483206
EC,Conference,under_3.5,303,0.5738195412486145,0.19463765349572673,0.5589072771601977,0.18872948439396503
F1,Ligue 1,1x2_away,153,0.5710770643788721,0.1927701211703466,0.5779398275202605,0.19641533086623603
F1,Ligue 1,1x2_draw,153,0.5198558978766316,0.1686820149582533,0.5204731051748434,0.16886742609791788
F1,Ligue 1,1x2_home,153,0.6411128208962752,0.22651875582173325,0.652787304998847,0.23125757544217515
F1,Ligue 1,btts_no,153,0.7162684193041444,0.2609910475602367,0.7119616033596654,0.25903652578230374
F1,Ligue 1,btts_yes,153,0.7162684193041444,0.2609910475602367,0.7119616033596655,0.25903652578230374
F1,Ligue 1,dc_12,153,0.5198558978766316,0.1686820149582533,0.5204731051748435,0.16886742609791788
F1,Ligue 1,dc_1x,153,0.5710770643788721,0.1927701211703466,0.5779398275202606,0.19641533086623603
F1,Ligue 1,dc_2x,153,0.6411128208962751,0.22651875582173325,0.652787304998847,0.23125757544217515
F1,Ligue 1,over_0.5,153,0.20408524073121234,0.05005331368251218,0.204347601771803,0.04972468653875306
